nominal
past
negative
participle
potential
potential-colloquial
passive
causative
causative-passive
causative-passive-colloquial
provisional-conditional
imperative
volitional
negative-nominal
negative-past
negative-participle
negative-provisional-conditional
negative-provisional-conditional-colloquial
conditional
wish
wish-past
wish-nominal
polite
past-polite
negative-polite
negative-past-polite
volitional-polite

